Tsat (K)	Psat (bar)
7.0	0.101161927101
7.0	0.110726046955
7.0	0.1107121972
8.0	0.270194813018
8.0	0.270194813018
8.0	0.284689128443
9.0	0.459836222509
9.0	0.465558962314
9.0	0.465558962314
10.0	0.679490419538
10.0	0.679803633713
10.0	0.753237009569
11.0	1.30021539176
11.0	1.15086787908
11.0	1.15086787908
