Tsat (K)	Psat (bar)
7.0	68.9291087171
7.0	69.3456248357
8.0	68.9358705214
8.0	68.9358705214
9.0	68.2757595471
9.0	68.1622677014
10.0	65.6541091171
10.0	65.6541091171
11.0	62.6497670343
11.0	62.2976892271
9.5	67.3510213451
9.5	67.1148389853
10.5	64.3947114443
10.5	64.3947114443
11.5	59.9976943514
11.5	60.0639854629
12.0	57.01508612
12.0	57.01508612
12.5	52.4164082771
12.5	52.1500974257
