Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
7.0	305.558219657	0.632779539929
7.0	305.7985572	0.612529099243
8.0	290.494556043	2.05345634814
8.0	290.494556043	2.05345634814
9.0	274.494214771	4.90560874143
9.0	274.286161757	5.029285776
10.0	256.135564414	10.28259259
10.0	256.135564414	10.28259259
11.0	234.926827371	19.24154712
11.0	234.768189114	19.1884454457
9.5	265.353721416	7.17852330103
9.5	265.562097301	7.23946614381
10.5	246.0252887	14.0142379471
10.5	246.0252887	14.0142379471
11.5	222.282656886	25.9491479871
11.5	222.319561986	26.2726487914
12.0	207.956418743	35.92145435
12.0	207.956418743	35.92145435
12.5	189.444460314	50.3696406029
12.5	188.608423329	49.8628465271
