Tsat (K)	Psat (bar)
9.5	1.2864521292
9.5	1.34814642672
9.5	1.3458770376
9.5	1.28500173268
10.5	2.62450720743
10.5	2.43835437895
10.5	2.56701660608
10.5	2.59500930088
11.5	4.53317803148
11.5	4.65669343565
11.5	4.70733191204
11.5	4.66824518981
12.0	5.869415384
12.0	6.1804197256
12.0	5.7270306052
12.0	6.3989811488
12.5	7.21359215829
12.5	7.24666011503
12.5	7.21928376062
12.5	7.42661957047
