ierr, func value: 0    0.1737153934E-11
RMSE for all points:    0.2612226373    
  46 nonlinear parameters
   1     1.16406382984624    
   2    0.593775469740520    
   3    0.579991620360140    
   4     2.16547015214329    
   5     2.98314825911820    
   6     1.41509085761783    
   7     1.68952244399482    
   8     4.01020983745692    
   9    0.918500573699908    
  10     1.24672879488806    
  11     2.05681119414852    
  12     1.31995140236607    
  13     3.73423077881244    
  14     2.03094608487497    
  15     2.16349588270954    
  16     1.14951445564366    
  17     1.13500643353835    
  18    0.706124946374114    
  19     3.38198341068258    
  20    0.586893129829570    
  21     2.50706679697449    
  22    0.947942951899726    
  23     1.32340552994745    
  24    0.400000000000000    
  25     3.08785463812471    
  26    0.958505100822341    
  27     1.18369957176966    
  28     2.88051393389548    
  29     3.89009793612663    
  30     1.75941163648810    
  31    0.663027178763952    
  32     3.85457885867751    
  33     1.10245630997729    
  34    0.928262289570450    
  35     1.10072817300826    
  36    0.850816031004730    
  37     1.03935993289613    
  38     2.35163790098234    
  39     20.0000000000000    
  40     7.74979337816275    
  41     1.76277419240966    
  42     2.22023197004267    
  43     2.33977220590245    
  44     1.96782469219456    
  45     2.13546395662687    
  46    0.959706781068175    
 linear parameters
   1     7.33779142427628    
   2    0.207562291096732E-02
   3    0.201257721465354E-02
   4    -162280.921808245    
   5     140426930.572053    
   6     3676.77127295706    
   7     40721.4699374272    
   8    -145478302663.879    
   9    -2.38575533677150    
  10     24.9222823036941    
  11    -136123.231454042    
  12    -2036.85749653572    
  13     65196789563.7813    
  14    -246369.934348762    
  15     337609.745545195    
  16    -303.389041542620    
  17     419.847355533508    
  18    0.428281282658233E-01
  19    -6376463380.36163    
  20    0.121898031059658E-01
  21     25447929.5505372    
  22     1.81213617023749    
  23    -2092.82734569787    
  24    0.681066685456400E-05
  25    -146635205.381890    
  26     6.60802549511257    
  27    -344.693694202977    
  28     143064734.239803    
  29    -1008432134063.46    
  30    -9312.13937942436    
  31   -0.386910250300881E-02
  32     711864422051.715    
  33     18.0536606525932    
  34    0.922564385936391    
  35    -4.52285479839575    
  36    -15.2910806164061    
  37    -370.838300778413    
  38     673.766716043939    
  39    -553.474291722504    
  40     158.205832955569    
  41     112.479143795999    
