Tsat (K)	Psat (bar)
9.0	0.9098352538702359
9.0	0.8619591017419355
9.0	0.8791149600362976
9.0	0.8532123481474655
9.5	1.2791227507262324
9.5	1.2738064553351207
9.5	1.2801715866577301
9.5	1.2755516713424297
10.0	1.8550806139230136
10.0	1.840561124201474
10.0	1.852534787919738
10.0	1.8281407663390665
10.5	2.4912339154477614
10.5	2.553625783308769
10.5	2.596390416343284
10.5	2.57644134
11.0	3.428554042186429
11.0	3.5030469507367714
11.0	3.4937807708640323
11.0	3.471527940679052
11.5	4.627459501834036
11.5	4.655112811575466
11.5	4.590297776788936
11.5	4.553930264461816
12.0	5.904795573216217
12.0	5.843130618675676
12.0	5.991913421467539
12.0	5.973714019176215
12.5	7.435017131829321
12.5	7.433847201237731
12.5	7.5273398778822
12.5	7.466588590926808
