Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
9.5	266.700263352	7.31948607363
9.5	265.722018462	7.75668851484
9.5	266.837253187	7.60463085165
9.5	266.002695604	7.44357635714
10.5	247.7031556	16.433590996
10.5	246.41736196	14.740655496
10.5	247.68002748	15.804562608
10.5	244.1275926	13.61893468
11.5	220.352760907	27.3877516218
11.5	218.712680984	26.0383418497
11.5	219.758658912	26.4465422668
11.5	222.360994067	27.5944736839
12.0	203.244533811	36.6521157687
12.0	202.000378128	37.6108597819
12.0	207.185902621	38.7419041233
12.0	206.488512335	38.8911056322
12.5	183.469387522	50.611611851
12.5	184.07406256	52.5365420796
12.5	181.801679058	52.8271970985
12.5	179.476792425	49.8660828175
