Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
7.0	304.790726	0.698889871
7.0	304.861472857	0.696453762143
7.0	304.701799286	0.706928367143
7.0	304.737877143	0.698825540714
7.0	304.845707143	0.733566947857
7.0	304.924622857	0.639833252857
7.0	304.778468571	0.714053108571
7.0	304.739442143	0.730650241429
8.0	289.743942	2.18485567
8.0	289.719931	2.19314843
8.0	289.728720714	2.10970763571
8.0	289.830419286	2.12096083571
8.0	289.825132857	2.1713467
8.0	289.725282857	2.09942773571
8.0	289.889435	2.1414935
8.0	289.631578571	2.09265764286
9.0	273.4087115	5.210606745
9.0	273.278060667	5.30900137333
9.0	273.371487857	5.2250795
9.0	273.376744667	5.3082477
9.0	273.182279333	5.06572223333
9.0	273.350937333	5.17340156667
9.0	273.472468	5.34328141333
9.0	273.308741333	5.1113376
10.0	255.0453075	11.00140395
10.0	255.004514	10.8461780667
10.0	254.974437333	10.7604351867
10.0	255.123608	10.8803116667
10.0	255.042814	10.7761260667
10.0	255.042310667	10.7755443333
10.0	254.953790667	10.6378564667
10.0	254.940302667	10.6605425333
11.0	233.104146	20.1779867333
11.0	233.155356667	20.0747394667
11.0	233.414900667	20.3308111333
11.0	232.937134667	20.1931494
11.0	233.315902	20.554116
11.0	233.333172667	20.4046452667
11.0	232.956408667	19.8946202
11.0	233.066141333	19.848907
