T (K)	rhol (kmol/m3)	rhov (kmol/m3)	Psat (MPa)
9.0	68.511	0.022	1.222	0.009	0.0831	0.0005
9.5	66.368	0.014	1.816	0.007	0.1263	0.0004
10.0	64.031	0.048	2.554	0.03	0.1801	0.0015
10.5	61.509	0.019	3.548	0.01	0.2502	0.0004
11.0	58.726	0.04	4.831	0.02	0.3364	0.0011
11.5	55.556	0.022	6.529	0.024	0.4438	0.0013
12.0	51.929	0.031	8.875	0.042	0.5734	0.0024
12.5	46.909	0.088	12.154	0.081	0.7202	0.0034
